word,etymology,notes
abstain,,grade8
accommodate,,grade8
accumulate,,grade8
accustomed,,grade8
acoustics,,grade8
acquaintance,,grade8
acquisition,,grade8
acquittal,,grade8
adolescence,,grade8
adolescent,,grade8
advantageous,,grade8
aerial,,grade8
amateur,,grade8
amnesty,,grade8
anecdote,,grade8
annoyance,,grade8
anonymous,,grade8
antecedent,,grade8
antidote,,grade8
antiseptic,,grade8
anxious,,grade8
apology,,grade8
apostrophe,,grade8
appendixes,,grade8
applicant,,grade8
approximate,,grade8
archaic,,grade8
architect,,grade8
arrangement,,grade8
asphalt,,grade8
asterisk,,grade8
asthma,,grade8
awkward,,grade8
bachelor,,grade8
bankruptcy,,grade8
barometer,,grade8
belligerent,,grade8
berserk,,grade8
besieged,,grade8
biannual,,grade8
bimonthly,,grade8
biographical,,grade8
brilliance,,grade8
budge,,grade8
burglary,,grade8
cameos,,grade8
capably,,grade8
caricature,,grade8
catastrophe,,grade8
chameleon,,grade8
chandelier,,grade8
characteristic,,grade8
chauffeur,,grade8
chrysanthemum,,grade8
circumference,,grade8
collaborate,,grade8
collateral,,grade8
colleague,,grade8
colonel,,grade8
confiscate,,grade8
confiscation,,grade8
conscious,,grade8
consequence,,grade8
considerable,,grade8
contagious,,grade8
continuous,,grade8
controversy,,grade8
correlation,,grade8
council,,grade8
counsel,,grade8
criticism,,grade8
criticize,,grade8
critique,,grade8
crypt,,grade8
cylinder,,grade8
deficiency,,grade8
desirable,,grade8
desolate,,grade8
deterrent,,grade8
diagnosis,,grade8
dialogue,,grade8
dilemma,,grade8
disbursement,,grade8
discernible,,grade8
discrepancy,,grade8
dominance,,grade8
embargo,,grade8
endeavor,,grade8
envious,,grade8
epidemic,,grade8
equilibrium,,grade8
erroneous,,grade8
escalator,,grade8
excessive,,grade8
existence,,grade8
extremity,,grade8
extricate,,grade8
fashionable,,grade8
façade,,grade8
fiasco,,grade8
fibrous,,grade8
fiery,,grade8
flamboyant,,grade8
forgery,,grade8
frivolous,,grade8
frostbitten,,grade8
glamorous,,grade8
gorgeous,,grade8
grotesque,,grade8
gymnasium,,grade8
haphazard,,grade8
hazardous,,grade8
headquarters,,grade8
honorary,,grade8
horrific,,grade8
hospitality,,grade8
incidentally,,grade8
inconvenience,,grade8
indulgence,,grade8
inept,,grade8
inevitable,,grade8
innumerable,,grade8
insistent,,grade8
insufficient,,grade8
integrity,,grade8
intermittent,,grade8
internally,,grade8
interrogate,,grade8
jewelry,,grade8
legitimate,,grade8
leisure,,grade8
lieutenant,,grade8
longevity,,grade8
lucrative,,grade8
lunar,,grade8
luncheon,,grade8
luxurious,,grade8
malady,,grade8
malicious,,grade8
malignant,,grade8
melodious,,grade8
mercenary,,grade8
mesmerize,,grade8
meteor,,grade8
meticulous,,grade8
metropolitan,,grade8
minimize,,grade8
miscellaneous,,grade8
mischievous,,grade8
misdemeanor,,grade8
necessity,,grade8
negligence,,grade8
neutral,,grade8
newsstand,,grade8
nostalgia,,grade8
noticeable,,grade8
obesity,,grade8
obscure,,grade8
obsolete,,grade8
obstinate,,grade8
occurred,,grade8
ominous,,grade8
optimism,,grade8
optimistic,,grade8
outrageous,,grade8
pageant,,grade8
parachute,,grade8
paralysis,,grade8
parliament,,grade8
penitentiary,,grade8
perceive,,grade8
permeate,,grade8
perseverance,,grade8
personality,,grade8
personification,,grade8
persuade,,grade8
phenomenon,,grade8
plaintiff,,grade8
pneumonia,,grade8
politician,,grade8
potential,,grade8
precipice,,grade8
precocious,,grade8
predecessor,,grade8
preferably,,grade8
prestigious,,grade8
procrastinate,,grade8
propeller,,grade8
prosperous,,grade8
protein,,grade8
pseudonym,,grade8
psychiatrist,,grade8
questionnaire,,grade8
radioactive,,grade8
rampage,,grade8
recurrent,,grade8
rehearsal,,grade8
relevant,,grade8
religious,,grade8
roommate,,grade8
sacrifice,,grade8
sacrificial,,grade8
sanctuary,,grade8
scandalized,,grade8
schedule,,grade8
scheme,,grade8
schism,,grade8
scholar,,grade8
semester,,grade8
serviceable,,grade8
shrine,,grade8
shuddering,,grade8
sieve,,grade8
snobbery,,grade8
solitary,,grade8
sophomore,,grade8
studious,,grade8
subtlety,,grade8
suburban,,grade8
surmise,,grade8
susceptible,,grade8
suspicious,,grade8
taboo,,grade8
technically,,grade8
technology,,grade8
tyranny,,grade8
unacceptable,,grade8
unconscious,,grade8
undernourished,,grade8
unduly,,grade8
unenforceable,,grade8
unique,,grade8
universal,,grade8
unpredictable,,grade8
unsanitary,,grade8
utopia,,grade8
vaccinate,,grade8
vacillate,,grade8
venom,,grade8
vertigo,,grade8
vessel,,grade8
vigilant,,grade8
villain,,grade8
vitamin,,grade8
vivacious,,grade8
vocalize,,grade8
voracious,,grade8
voucher,,grade8
vulnerable,,grade8
withhold,,grade8
